algorithm,threads,n,k,rep,dtype,time
ParPriority,24,30000000,27000000,6,i32,674
SeqPermutation,24,30000000,27000000,6,i32,170
FullPermutation,24,30000000,27000000,6,i32,10470
ParPermutation,24,30000000,27000000,6,i32,10149
Naive,24,30000000,27000000,7,i32,7284
SeqPriority,24,30000000,27000000,7,i32,127
ParPriority,24,30000000,27000000,7,i32,717
SeqPermutation,24,30000000,27000000,7,i32,171
FullPermutation,24,30000000,27000000,7,i32,10487
ParPermutation,24,30000000,27000000,7,i32,10150
Naive,24,30000000,27000000,8,i32,7130
SeqPriority,24,30000000,27000000,8,i32,122
ParPriority,24,30000000,27000000,8,i32,897
SeqPermutation,24,30000000,27000000,8,i32,170
FullPermutation,24,30000000,27000000,8,i32,10518
ParPermutation,24,30000000,27000000,8,i32,10159
Naive,24,30000000,27000000,9,i32,7461
SeqPriority,24,30000000,27000000,9,i32,94
ParPriority,24,30000000,27000000,9,i32,702
SeqPermutation,24,30000000,27000000,9,i32,172
FullPermutation,24,30000000,27000000,9,i32,10563
ParPermutation,24,30000000,27000000,9,i32,10139
Naive,24,30000000,27000000,10,i32,7294
SeqPriority,24,30000000,27000000,10,i32,118
ParPriority,24,30000000,27000000,10,i32,817
SeqPermutation,24,30000000,27000000,10,i32,170
FullPermutation,24,30000000,27000000,10,i32,10550
ParPermutation,24,30000000,27000000,10,i32,10149
Naive,24,30000000,27000000,11,i32,7258
SeqPriority,24,30000000,27000000,11,i32,141
ParPriority,24,30000000,27000000,11,i32,889
SeqPermutation,24,30000000,27000000,11,i32,169
FullPermutation,24,30000000,27000000,11,i32,10466
ParPermutation,24,30000000,27000000,11,i32,10137
Naive,24,30000000,27000000,12,i32,7224
SeqPriority,24,30000000,27000000,12,i32,154
ParPriority,24,30000000,27000000,12,i32,671
SeqPermutation,24,30000000,27000000,12,i32,170
FullPermutation,24,30000000,27000000,12,i32,10525
ParPermutation,24,30000000,27000000,12,i32,10130
Naive,24,30000000,27000000,13,i32,7166
SeqPriority,24,30000000,27000000,13,i32,182
ParPriority,24,30000000,27000000,13,i32,1899
SeqPermutation,24,30000000,27000000,13,i32,170
FullPermutation,24,30000000,27000000,13,i32,10503
ParPermutation,24,30000000,27000000,13,i32,10113
Naive,24,30000000,27000000,14,i32,7186
SeqPriority,24,30000000,27000000,14,i32,88
ParPriority,24,30000000,27000000,14,i32,1108
SeqPermutation,24,30000000,27000000,14,i32,170
FullPermutation,24,30000000,27000000,14,i32,10512
ParPermutation,24,30000000,27000000,14,i32,10139
